Title,Avg rating,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type
That's Pretty Clever!,7.58,20.99,2018,1.88,1,4,30,30,8,Family
Xia: Legends of a Drift System,7.87,90.74,2014,3.19,3,5,60,180,12,Strategy
Splendor Duel,7.98,29.99,2022,1.97,2,2,30,30,10,Family
Welcome To...,7.55,39.95,2018,1.84,1,100,25,25,10,Family
War Chest,7.86,44.58,2018,2.3,2,4,30,30,14,Abstract
Jaipur,7.49,24.99,2009,1.47,2,2,30,30,12,Family
Radlands,7.9,30.99,2021,2.26,2,2,20,40,14,Strategy
Chaos in the Old World,7.66,77.99,2009,3.2,3,4,60,120,13,Strategy
Nemesis: Lockdown,8.38,141.62,2022,3.91,1,5,90,180,12,Thematic
Wingspan Asia,8.36,35.99,2022,2.64,1,2,40,70,10,Family
Dominion (Second Edition),7.85,38.34,2016,2.17,2,4,30,30,14,Strategy
War of the Ring,7.77,78.59,2004,3.84,2,4,120,120,12,Thematic
Final Girl,8.35,19.99,2021,2.63,1,1,20,60,14,Thematic
This War of Mine: The Board Game,7.78,63.49,2017,3.3,1,6,45,120,18,Thematic
Descent: Journeys in the Dark (Second Edition),7.62,199.95,2012,3.21,1,5,120,120,14,Thematic
Azul: Summer Pavilion,7.65,34.9,2019,2.05,2,4,30,45,8,Abstract
Revive,8.18,75.61,2022,3.42,1,4,90,120,14,Strategy
Memoir '44,7.54,57.86,2004,2.28,2,8,30,60,8,Strategy
Hegemony: Lead Your Class to Victory,8.54,324.99,2023,4.12,2,4,90,180,14,Strategy
Unmatched: Cobble & Fog,8,38.79,2020,1.97,2,4,20,40,9,Strategy
Too Many Bones: Undertow,8.69,119.99,2018,4.01,1,2,60,180,12,Strategy
Horrified,7.66,39.99,2019,2.05,1,5,60,60,10,Family
Cosmic Encounter,7.53,55.99,2008,2.59,3,5,60,120,12,Strategy
Railways of the World,7.67,149.99,2005,3.02,2,6,120,120,10,Strategy
Castles of Mad King Ludwig,7.52,50.09,2014,2.65,1,4,90,90,13,Strategy
